EntityName,CIK,Metric,end,val,start,year,quarter
Apple Inc.,320193,AssetsCurrent,2014-03-29,70541000000,,2014,Q1
Apple Inc.,320193,LiabilitiesCurrent,2014-03-29,43208000000,,2014,Q1
Apple Inc.,320193,AssetsCurrent,2014-06-28,67949000000,,2014,Q2
Apple Inc.,320193,LiabilitiesCurrent,2014-06-28,46205000000,,2014,Q2
Apple Inc.,320193,AssetsCurrent,2014-09-27,68531000000,,2014,Q3
Apple Inc.,320193,LiabilitiesCurrent,2014-09-27,63448000000,,2014,Q3
Apple Inc.,320193,AssetsCurrent,2014-12-27,83403000000,,2014,Q4
Apple Inc.,320193,LiabilitiesCurrent,2014-12-27,73611000000,,2014,Q4
Apple Inc.,320193,AssetsCurrent,2015-03-28,67891000000,,2015,Q1
Apple Inc.,320193,LiabilitiesCurrent,2015-03-28,58729000000,,2015,Q1
Apple Inc.,320193,AssetsCurrent,2015-06-27,70953000000,,2015,Q2
Apple Inc.,320193,LiabilitiesCurrent,2015-06-27,65285000000,,2015,Q2
Apple Inc.,320193,AssetsCurrent,2015-09-26,89378000000,,2015,Q3
Apple Inc.,320193,LiabilitiesCurrent,2015-09-26,80610000000,,2015,Q3
Apple Inc.,320193,AssetsCurrent,2015-12-26,76219000000,,2015,Q4
Apple Inc.,320193,LiabilitiesCurrent,2015-12-26,76092000000,,2015,Q4
Apple Inc.,320193,AssetsCurrent,2016-03-26,87592000000,,2016,Q1
Apple Inc.,320193,LiabilitiesCurrent,2016-03-26,68265000000,,2016,Q1
Apple Inc.,320193,AssetsCurrent,2016-06-25,93761000000,,2016,Q2
Apple Inc.,320193,LiabilitiesCurrent,2016-06-25,71486000000,,2016,Q2
Apple Inc.,320193,AssetsCurrent,2016-09-24,106869000000,,2016,Q3
Apple Inc.,320193,LiabilitiesCurrent,2016-09-24,79006000000,,2016,Q3
Apple Inc.,320193,AssetsCurrent,2016-12-31,103332000000,,2016,Q4
Apple Inc.,320193,LiabilitiesCurrent,2016-12-31,84130000000,,2016,Q4
Apple Inc.,320193,AssetsCurrent,2017-04-01,101990000000,,2017,Q1
Apple Inc.,320193,LiabilitiesCurrent,2017-04-01,73342000000,,2017,Q1
Apple Inc.,320193,AssetsCurrent,2017-07-01,112875000000,,2017,Q2
