EntityName,CIK,Metric,end,val,start,year,quarter
"HOME DEPOT, INC.",354950,NetIncomeLoss,2014-02-02,1013000000,2013-11-04,2013,Q4
"HOME DEPOT, INC.",354950,NetIncomeLoss,2014-05-04,1379000000,2014-02-03,2014,Q1
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2014-05-04,2277000000,2014-02-03,2014,Q1
"HOME DEPOT, INC.",354950,NetIncomeLoss,2014-08-03,2050000000,2014-05-05,2014,Q2
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2014-08-03,3448000000,2014-05-05,2014,Q2
"HOME DEPOT, INC.",354950,NetIncomeLoss,2014-11-02,1537000000,2014-08-04,2014,Q3
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2014-11-02,2553000000,2014-08-04,2014,Q3
"HOME DEPOT, INC.",354950,NetIncomeLoss,2015-02-01,1379000000,2014-11-03,2014,Q4
"HOME DEPOT, INC.",354950,NetIncomeLoss,2015-05-03,1579000000,2015-02-02,2015,Q1
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2015-05-03,2597000000,2015-02-02,2015,Q1
"HOME DEPOT, INC.",354950,NetIncomeLoss,2015-08-02,2234000000,2015-05-04,2015,Q2
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2015-08-02,3647000000,2015-05-04,2015,Q2
"HOME DEPOT, INC.",354950,NetIncomeLoss,2015-11-01,1725000000,2015-08-03,2015,Q3
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2015-11-01,2981000000,2015-08-03,2015,Q3
"HOME DEPOT, INC.",354950,NetIncomeLoss,2016-01-31,1471000000,2015-11-02,2015,Q4
"HOME DEPOT, INC.",354950,NetIncomeLoss,2016-05-01,1803000000,2016-02-01,2016,Q1
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2016-05-01,3077000000,2016-02-01,2016,Q1
"HOME DEPOT, INC.",354950,NetIncomeLoss,2016-07-31,2441000000,2016-05-02,2016,Q2
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2016-07-31,4103000000,2016-05-02,2016,Q2
"HOME DEPOT, INC.",354950,NetIncomeLoss,2016-10-30,1969000000,2016-08-01,2016,Q3
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2016-10-30,3320000000,2016-08-01,2016,Q3
"HOME DEPOT, INC.",354950,NetIncomeLoss,2017-01-29,1744000000,2016-10-31,2016,Q4
"HOME DEPOT, INC.",354950,NetIncomeLoss,2017-04-30,2014000000,2017-01-30,2017,Q1
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2017-04-30,3349000000,2017-01-30,2017,Q1
"HOME DEPOT, INC.",354950,NetIncomeLoss,2017-07-30,2672000000,2017-05-01,2017,Q2
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2017-07-30,4463000000,2017-05-01,2017,Q2
"HOME DEPOT, INC.",354950,NetIncomeLoss,2017-10-29,2165000000,2017-07-31,2017,Q3
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2017-10-29,3680000000,2017-07-31,2017,Q3
"HOME DEPOT, INC.",354950,NetIncomeLoss,2018-01-28,1779000000,2017-10-30,2017,Q4
"HOME DEPOT, INC.",354950,NetIncomeLoss,2018-04-29,2404000000,2018-01-29,2018,Q1
"HOME DEPOT, INC.",354950,OperatingIncomeLoss,2018-04-29,3381000000,2018-01-29,2018,Q1
