ENTITY,CIK,DATE,Year,Quarter,NET_INCOME_LOSS,OPS_INCOME_LOSS,REVENUES,PROFIT_MARGIN
"HOME DEPOT, INC.",354950,2014-02-02,2013,Q4,1013.0,,,
"HOME DEPOT, INC.",354950,2014-05-04,2014,Q1,1379.0,2277.0,,
"HOME DEPOT, INC.",354950,2014-08-03,2014,Q2,2050.0,3448.0,,
"HOME DEPOT, INC.",354950,2014-11-02,2014,Q3,1537.0,2553.0,,
"HOME DEPOT, INC.",354950,2015-02-01,2014,Q4,1379.0,,,
"HOME DEPOT, INC.",354950,2015-05-03,2015,Q1,1579.0,2597.0,,
"HOME DEPOT, INC.",354950,2015-08-02,2015,Q2,2234.0,3647.0,,
"HOME DEPOT, INC.",354950,2015-11-01,2015,Q3,1725.0,2981.0,,
"HOME DEPOT, INC.",354950,2016-01-31,2015,Q4,1471.0,,,
"HOME DEPOT, INC.",354950,2016-05-01,2016,Q1,1803.0,3077.0,,
"HOME DEPOT, INC.",354950,2016-07-31,2016,Q2,2441.0,4103.0,,
"HOME DEPOT, INC.",354950,2016-10-30,2016,Q3,1969.0,3320.0,,
"HOME DEPOT, INC.",354950,2017-01-29,2016,Q4,1744.0,,,
"HOME DEPOT, INC.",354950,2017-04-30,2017,Q1,2014.0,3349.0,,
"HOME DEPOT, INC.",354950,2017-07-30,2017,Q2,2672.0,4463.0,,
"HOME DEPOT, INC.",354950,2017-10-29,2017,Q3,2165.0,3680.0,,
"HOME DEPOT, INC.",354950,2018-01-28,2017,Q4,1779.0,,,
"HOME DEPOT, INC.",354950,2018-04-29,2018,Q1,2404.0,3381.0,,
"HOME DEPOT, INC.",354950,2018-07-29,2018,Q2,3506.0,4901.0,,
"HOME DEPOT, INC.",354950,2018-10-28,2018,Q3,2867.0,3870.0,,
"HOME DEPOT, INC.",354950,2019-02-03,2018,Q4,2344.0,,,
"HOME DEPOT, INC.",354950,2019-05-05,2019,Q1,2513.0,3597.0,,
"HOME DEPOT, INC.",354950,2019-08-04,2019,Q2,3479.0,4896.0,,
"HOME DEPOT, INC.",354950,2019-11-03,2019,Q3,2769.0,3947.0,,
"HOME DEPOT, INC.",354950,2020-02-02,2019,Q4,2481.0,,,
"HOME DEPOT, INC.",354950,2020-05-03,2020,Q1,2245.0,3276.0,,
"HOME DEPOT, INC.",354950,2020-08-02,2020,Q2,4332.0,6067.0,,
"HOME DEPOT, INC.",354950,2020-11-01,2020,Q3,3432.0,4852.0,,
"HOME DEPOT, INC.",354950,2021-05-02,2021,Q1,4145.0,5781.0,,
"HOME DEPOT, INC.",354950,2021-08-01,2021,Q2,4807.0,6639.0,,
"HOME DEPOT, INC.",354950,2021-10-31,2021,Q3,4129.0,5795.0,,
"HOME DEPOT, INC.",354950,2022-05-01,2022,Q1,4231.0,5929.0,,
"HOME DEPOT, INC.",354950,2022-07-31,2022,Q2,5173.0,7210.0,,
"HOME DEPOT, INC.",354950,2022-10-30,2022,Q3,4339.0,6148.0,,
"HOME DEPOT, INC.",354950,2023-04-30,2023,Q1,3873.0,5551.0,,
"HOME DEPOT, INC.",354950,2023-07-30,2023,Q2,4659.0,6589.0,,
"HOME DEPOT, INC.",354950,2023-10-29,2023,Q3,3810.0,5406.0,,
