EntityName,CIK,Metric,end,val,start,year,quarter
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInFinancingActivities,2016-06-30,-8393000000,2015-07-01,2016,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInInvestingActivities,2016-06-30,-23950000000,2015-07-01,2016,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInOperatingActivities,2016-06-30,33325000000,2015-07-01,2016,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInFinancingActivities,2017-06-30,8408000000,2016-07-01,2017,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInInvestingActivities,2017-06-30,-46781000000,2016-07-01,2017,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInOperatingActivities,2017-06-30,39507000000,2016-07-01,2017,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInFinancingActivities,2018-06-30,-33590000000,2017-07-01,2018,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInInvestingActivities,2018-06-30,-6061000000,2017-07-01,2018,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInOperatingActivities,2018-06-30,43884000000,2017-07-01,2018,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInFinancingActivities,2019-06-30,-36887000000,2018-07-01,2019,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInInvestingActivities,2019-06-30,-15773000000,2018-07-01,2019,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInOperatingActivities,2019-06-30,52185000000,2018-07-01,2019,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInFinancingActivities,2020-06-30,-46031000000,2019-07-01,2020,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInInvestingActivities,2020-06-30,-12223000000,2019-07-01,2020,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInOperatingActivities,2020-06-30,60675000000,2019-07-01,2020,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInFinancingActivities,2021-06-30,-48486000000,2020-07-01,2021,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInInvestingActivities,2021-06-30,-27577000000,2020-07-01,2021,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInOperatingActivities,2021-06-30,76740000000,2020-07-01,2021,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInFinancingActivities,2022-06-30,-58876000000,2021-07-01,2022,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInInvestingActivities,2022-06-30,-30311000000,2021-07-01,2022,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInOperatingActivities,2022-06-30,89035000000,2021-07-01,2022,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInFinancingActivities,2023-06-30,-43935000000,2022-07-01,2023,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInInvestingActivities,2023-06-30,-22680000000,2022-07-01,2023,5
MICROSOFT CORPORATION,789019,NetCashProvidedByUsedInOperatingActivities,2023-06-30,87582000000,2022-07-01,2023,5
