ENTITY,CIK,DATE,Year,Quarter,CURRENT_ASSETS,CURRENT_LIABILITIES,CURRENT_RATIO
MICROSOFT CORPORATION,789019,2014-03-31,2014,Q1,109006.0,33903.0,3.22
MICROSOFT CORPORATION,789019,2014-06-30,2014,Q2,114246.0,45625.0,2.5
MICROSOFT CORPORATION,789019,2014-09-30,2014,Q3,112439.0,44694.0,2.52
MICROSOFT CORPORATION,789019,2014-12-31,2014,Q4,116362.0,47415.0,2.45
MICROSOFT CORPORATION,789019,2015-03-31,2015,Q1,118398.0,40748.0,2.91
MICROSOFT CORPORATION,789019,2015-06-30,2015,Q2,122797.0,49647.0,2.47
MICROSOFT CORPORATION,789019,2015-09-30,2015,Q3,121656.0,49399.0,2.46
MICROSOFT CORPORATION,789019,2015-12-31,2015,Q4,127812.0,42643.0,3.0
MICROSOFT CORPORATION,789019,2016-03-31,2016,Q1,128421.0,44354.0,2.9
MICROSOFT CORPORATION,789019,2016-06-30,2016,Q2,139660.0,59357.0,2.35
MICROSOFT CORPORATION,789019,2016-09-30,2016,Q3,157909.0,58810.0,2.69
MICROSOFT CORPORATION,789019,2016-12-31,2016,Q4,144949.0,70787.0,2.05
MICROSOFT CORPORATION,789019,2017-03-31,2017,Q1,146313.0,52005.0,2.81
MICROSOFT CORPORATION,789019,2017-06-30,2017,Q2,162696.0,55745.0,2.92
MICROSOFT CORPORATION,789019,2017-09-30,2017,Q3,161031.0,51615.0,3.12
MICROSOFT CORPORATION,789019,2017-12-31,2017,Q4,167633.0,58099.0,2.89
MICROSOFT CORPORATION,789019,2018-03-31,2018,Q1,156659.0,46133.0,3.4
MICROSOFT CORPORATION,789019,2018-06-30,2018,Q2,169662.0,58488.0,2.9
MICROSOFT CORPORATION,789019,2018-09-30,2018,Q3,164195.0,56277.0,2.92
MICROSOFT CORPORATION,789019,2018-12-31,2018,Q4,156874.0,50318.0,3.12
MICROSOFT CORPORATION,789019,2019-03-31,2019,Q1,159887.0,53861.0,2.97
MICROSOFT CORPORATION,789019,2019-06-30,2019,Q2,175552.0,69420.0,2.53
MICROSOFT CORPORATION,789019,2019-09-30,2019,Q3,165896.0,58118.0,2.85
MICROSOFT CORPORATION,789019,2019-12-31,2019,Q4,167074.0,59640.0,2.8
MICROSOFT CORPORATION,789019,2020-03-31,2020,Q1,170505.0,58707.0,2.9
MICROSOFT CORPORATION,789019,2020-06-30,2020,Q2,181915.0,72310.0,2.52
MICROSOFT CORPORATION,789019,2020-09-30,2020,Q3,177077.0,70056.0,2.53
MICROSOFT CORPORATION,789019,2020-12-31,2020,Q4,173973.0,67486.0,2.58
MICROSOFT CORPORATION,789019,2021-03-31,2021,Q1,165614.0,72193.0,2.29
MICROSOFT CORPORATION,789019,2021-06-30,2021,Q2,184406.0,88657.0,2.08
MICROSOFT CORPORATION,789019,2021-09-30,2021,Q3,174326.0,80528.0,2.16
MICROSOFT CORPORATION,789019,2021-12-31,2021,Q4,174188.0,77510.0,2.25
MICROSOFT CORPORATION,789019,2022-03-31,2022,Q1,153922.0,77439.0,1.99
MICROSOFT CORPORATION,789019,2022-06-30,2022,Q2,169684.0,95082.0,1.78
MICROSOFT CORPORATION,789019,2022-09-30,2022,Q3,160812.0,87389.0,1.84
MICROSOFT CORPORATION,789019,2022-12-31,2022,Q4,157823.0,81718.0,1.93
MICROSOFT CORPORATION,789019,2023-03-31,2023,Q1,163889.0,85691.0,1.91
MICROSOFT CORPORATION,789019,2023-06-30,2023,Q2,184257.0,104149.0,1.77
MICROSOFT CORPORATION,789019,2023-09-30,2023,Q3,207586.0,124792.0,1.66
MICROSOFT CORPORATION,789019,2023-12-31,2023,Q4,147393.0,121016.0,1.22
