EntityName,CIK,Metric,end,val,start,year,quarter
LOCKHEED MARTIN CORPORATION,936468,AssetsCurrent,2014-03-30,14234000000,,2014,Q1
LOCKHEED MARTIN CORPORATION,936468,LiabilitiesCurrent,2014-03-30,11995000000,,2014,Q1
LOCKHEED MARTIN CORPORATION,936468,StockholdersEquity,2014-03-30,4800000000,,2014,Q1
LOCKHEED MARTIN CORPORATION,936468,AssetsCurrent,2014-06-29,14163000000,,2014,Q2
LOCKHEED MARTIN CORPORATION,936468,LiabilitiesCurrent,2014-06-29,12147000000,,2014,Q2
LOCKHEED MARTIN CORPORATION,936468,StockholdersEquity,2014-06-29,4319000000,,2014,Q2
LOCKHEED MARTIN CORPORATION,936468,AssetsCurrent,2014-09-28,13684000000,,2014,Q3
LOCKHEED MARTIN CORPORATION,936468,LiabilitiesCurrent,2014-09-28,12133000000,,2014,Q3
LOCKHEED MARTIN CORPORATION,936468,StockholdersEquity,2014-09-28,4574000000,,2014,Q3
LOCKHEED MARTIN CORPORATION,936468,AssetsCurrent,2014-12-31,12322000000,,2014,Q4
LOCKHEED MARTIN CORPORATION,936468,LiabilitiesCurrent,2014-12-31,11112000000,,2014,Q4
LOCKHEED MARTIN CORPORATION,936468,StockholdersEquity,2014-12-31,3400000000,,2014,Q4
LOCKHEED MARTIN CORPORATION,936468,AssetsCurrent,2015-03-29,15218000000,,2015,Q1
LOCKHEED MARTIN CORPORATION,936468,LiabilitiesCurrent,2015-03-29,11567000000,,2015,Q1
LOCKHEED MARTIN CORPORATION,936468,StockholdersEquity,2015-03-29,3520000000,,2015,Q1
LOCKHEED MARTIN CORPORATION,936468,AssetsCurrent,2015-06-28,15287000000,,2015,Q2
LOCKHEED MARTIN CORPORATION,936468,LiabilitiesCurrent,2015-06-28,12624000000,,2015,Q2
LOCKHEED MARTIN CORPORATION,936468,StockholdersEquity,2015-06-28,2982000000,,2015,Q2
LOCKHEED MARTIN CORPORATION,936468,AssetsCurrent,2015-09-27,15055000000,,2015,Q3
LOCKHEED MARTIN CORPORATION,936468,LiabilitiesCurrent,2015-09-27,12980000000,,2015,Q3
LOCKHEED MARTIN CORPORATION,936468,StockholdersEquity,2015-09-27,2813000000,,2015,Q3
LOCKHEED MARTIN CORPORATION,936468,AssetsCurrent,2015-12-31,14573000000,,2015,Q4
LOCKHEED MARTIN CORPORATION,936468,LiabilitiesCurrent,2015-12-31,13918000000,,2015,Q4
LOCKHEED MARTIN CORPORATION,936468,StockholdersEquity,2015-12-31,3097000000,,2015,Q4
