ENTITY,CIK,DATE,Year,Quarter,CASH_FLOW_FINANCING,CASH_FLOW_INVESTING,CASH_FLOW_OPERATING
"AMAZON.COM, INC.",1018724,2014-12-31,2014,5,4432.0,-5065.0,6842.0
"AMAZON.COM, INC.",1018724,2015-12-31,2015,5,-3882.0,-6450.0,12039.0
"AMAZON.COM, INC.",1018724,2016-12-31,2016,5,-3716.0,-9516.0,17203.0
"AMAZON.COM, INC.",1018724,2017-12-31,2017,5,9928.0,-27084.0,18365.0
"AMAZON.COM, INC.",1018724,2018-12-31,2018,5,-7686.0,-12369.0,30723.0
"AMAZON.COM, INC.",1018724,2019-12-31,2019,5,-10066.0,-24281.0,38514.0
"AMAZON.COM, INC.",1018724,2020-12-31,2020,5,-1104.0,-59611.0,66064.0
"AMAZON.COM, INC.",1018724,2021-12-31,2021,5,6291.0,-58154.0,46327.0
"AMAZON.COM, INC.",1018724,2022-12-31,2022,5,9718.0,-37601.0,46752.0
"AMAZON.COM, INC.",1018724,2023-12-31,2023,5,-15879.0,-49833.0,84946.0
