ENTITY,CIK,DATE,Year,Quarter,ASSETS_CURRENT,LIABILITIES_CURRENT,STOCKHOLDERS_EQUITY,ASSET_TO_LIABILITY_RATIO,DEBT_TO_EQUITY_RATIO
SNOWFLAKE INC.,1640147,2018-01-31,2017,Q4,,,-131.892,,
SNOWFLAKE INC.,1640147,2019-01-31,2018,Q4,,,-312.467,,
SNOWFLAKE INC.,1640147,2019-07-31,2019,Q2,,,-445.984,,
SNOWFLAKE INC.,1640147,2019-10-31,2019,Q3,,,-489.438,,
SNOWFLAKE INC.,1640147,2020-01-31,2019,Q4,665.194,416.455,-544.757,1.6,-0.8
SNOWFLAKE INC.,1640147,2020-04-30,2020,Q1,,,-604.046,,
SNOWFLAKE INC.,1640147,2020-07-31,2020,Q2,,,-651.399,,
SNOWFLAKE INC.,1640147,2020-10-31,2020,Q3,4986.771,547.659,4967.815,9.1,0.1
SNOWFLAKE INC.,1640147,2021-01-31,2020,Q4,4300.652,789.264,4936.471,5.4,0.2
SNOWFLAKE INC.,1640147,2021-04-30,2021,Q1,4221.336,776.998,4958.321,5.4,0.2
SNOWFLAKE INC.,1640147,2021-07-31,2021,Q2,4508.102,875.738,4964.965,5.1,0.2
SNOWFLAKE INC.,1640147,2021-10-31,2021,Q3,4308.257,958.735,5006.682,4.5,0.2
SNOWFLAKE INC.,1640147,2022-01-31,2021,Q4,4598.643,1397.093,5049.045,3.3,0.3
SNOWFLAKE INC.,1640147,2022-04-30,2022,Q1,4341.733,1363.718,5457.994,3.2,0.2
SNOWFLAKE INC.,1640147,2022-07-31,2022,Q2,4503.697,1401.436,5426.323,3.2,0.3
SNOWFLAKE INC.,1640147,2022-10-31,2022,Q3,4558.904,1479.042,5410.777,3.1,0.3
SNOWFLAKE INC.,1640147,2023-01-31,2022,Q4,4984.69,1993.517,5456.436,2.5,0.4
SNOWFLAKE INC.,1640147,2023-04-30,2023,Q1,4569.547,1887.541,5286.243,2.4,0.4
SNOWFLAKE INC.,1640147,2023-07-31,2023,Q2,4404.951,1913.312,5286.938,2.3,0.4
SNOWFLAKE INC.,1640147,2023-10-31,2023,Q3,4312.283,2032.672,4929.921,2.1,0.4
